Transaction ID,Store,Customer Type,Gender,Category,Unit Price,Quantity,Total,Date,Day,Payment,Rating
TXN-2424,West Hills Mall,Normal,Male,Electronics,81.02,3,255.21,2023-06-18,Saturday,Credit Card,8.4
TXN-9928,West Hills Mall,Member,Male,Cosmetics,73.41,1,77.08,2023-06-23,Saturday,Cash,7.4
TXN-6574,Kumasi City Mall,Normal,Female,Clothing,244.73,1,256.97,2023-06-14,Tuesday,Credit Card,8.6
TXN-1711,Kumasi City Mall,Member,Male,Clothing,36.9,2,77.49,2023-05-09,Wednesday,Mobile Money,6.2
TXN-4733,West Hills Mall,Member,Male,Cosmetics,170.09,6,1071.57,2023-01-02,Saturday,Mobile Money,7.5
TXN-5374,Kumasi City Mall,Normal,Male,Electronics,90.61,6,570.84,2023-02-22,Wednesday,Cash,5.0
TXN-4598,West Hills Mall,Member,Male,Stationery,164.9,4,692.58,2023-03-21,Thursday,Credit Card,5.0
TXN-6155,West Hills Mall,Member,Male,Groceries,243.46,7,1789.43,2023-05-23,Tuesday,Cash,5.6
TXN-8019,Accra Mall,Normal,Female,Stationery,51.43,3,162.0,2023-05-09,Friday,Mobile Money,5.5
TXN-3621,West Hills Mall,Member,Female,Cosmetics,157.76,2,331.3,2023-01-05,Sunday,Cash,8.5
TXN-2876,West Hills Mall,Normal,Male,Cosmetics,182.81,8,1535.6,2023-01-22,Friday,Mobile Money,7.2
TXN-5315,West Hills Mall,Normal,Female,Furniture,42.35,7,311.27,2023-06-24,Monday,Credit Card,4.9
TXN-9689,West Hills Mall,Normal,Male,Clothing,254.08,4,1067.14,2023-02-18,Sunday,Credit Card,4.9
TXN-1949,Accra Mall,Member,Female,Furniture,42.44,6,267.37,2023-03-08,Sunday,Mobile Money,9.3
TXN-5342,Accra Mall,Normal,Male,Furniture,246.65,3,776.95,2023-05-06,Thursday,Cash,4.8
TXN-9479,West Hills Mall,Member,Female,Furniture,216.76,7,1593.19,2023-03-15,Saturday,Cash,10.0
TXN-1964,Kumasi City Mall,Member,Male,Electronics,108.04,4,453.77,2023-01-23,Monday,Cash,7.5
TXN-8744,Accra Mall,Member,Male,Electronics,159.11,5,835.33,2023-05-05,Tuesday,Mobile Money,8.0
TXN-1887,Accra Mall,Member,Female,Cosmetics,38.11,7,280.11,2023-04-28,Thursday,Cash,6.1
TXN-3296,West Hills Mall,Normal,Male,Stationery,221.18,2,464.48,2023-05-15,Tuesday,Cash,5.5
TXN-1828,Kumasi City Mall,Member,Female,Clothing,263.6,2,553.56,2023-05-04,Sunday,Mobile Money,6.7
TXN-3697,West Hills Mall,Member,Male,Furniture,58.23,8,489.13,2023-04-02,Sunday,Cash,6.9
TXN-9883,Kumasi City Mall,Normal,Female,Electronics,92.72,8,778.85,2023-02-02,Wednesday,Mobile Money,4.9
TXN-4044,Accra Mall,Member,Female,Stationery,179.41,3,565.14,2023-01-28,Friday,Cash,4.3
TXN-7868,Accra Mall,Member,Male,Furniture,127.09,4,533.78,2023-05-03,Monday,Credit Card,7.5
TXN-5915,West Hills Mall,Member,Female,Furniture,204.22,6,1286.59,2023-02-22,Thursday,Mobile Money,5.4
TXN-3170,Kumasi City Mall,Normal,Male,Groceries,190.14,2,399.29,2023-05-09,Tuesday,Cash,4.4
TXN-1128,Kumasi City Mall,Normal,Male,Electronics,55.75,5,292.69,2023-06-17,Sunday,Mobile Money,7.7
TXN-3546,West Hills Mall,Member,Female,Furniture,282.29,3,889.21,2023-06-18,Monday,Credit Card,5.6
TXN-7939,Kumasi City Mall,Normal,Male,Groceries,69.04,5,362.46,2023-01-03,Wednesday,Credit Card,7.0
TXN-8007,Kumasi City Mall,Member,Male,Electronics,194.76,5,1022.49,2023-05-23,Thursday,Mobile Money,5.0
TXN-1685,West Hills Mall,Member,Male,Electronics,168.22,6,1059.79,2023-04-05,Tuesday,Cash,7.5
TXN-3532,Kumasi City Mall,Member,Male,Groceries,207.8,2,436.38,2023-04-20,Friday,Mobile Money,6.1
TXN-5065,Accra Mall,Member,Male,Clothing,62.01,6,390.66,2023-06-28,Thursday,Mobile Money,8.7
TXN-4728,Kumasi City Mall,Member,Male,Clothing,258.99,4,1087.76,2023-03-10,Thursday,Mobile Money,5.2
TXN-9346,Accra Mall,Normal,Male,Electronics,90.79,2,190.66,2023-03-21,Wednesday,Mobile Money,9.8
TXN-8119,Kumasi City Mall,Member,Female,Stationery,264.34,5,1387.78,2023-01-04,Wednesday,Cash,5.1
TXN-9518,Kumasi City Mall,Member,Female,Stationery,121.71,4,511.18,2023-04-01,Saturday,Mobile Money,5.5
TXN-5920,West Hills Mall,Normal,Male,Stationery,30.29,6,190.83,2023-01-24,Saturday,Mobile Money,7.7
TXN-3851,West Hills Mall,Normal,Female,Groceries,212.19,3,668.4,2023-04-22,Saturday,Mobile Money,5.2
TXN-6279,West Hills Mall,Member,Female,Furniture,98.12,4,412.1,2023-05-21,Friday,Mobile Money,6.6
TXN-6491,Kumasi City Mall,Member,Female,Cosmetics,158.24,3,498.46,2023-05-22,Wednesday,Credit Card,8.0
TXN-2193,Accra Mall,Member,Female,Clothing,52.73,1,55.37,2023-05-28,Thursday,Cash,5.5
TXN-2746,Kumasi City Mall,Normal,Male,Cosmetics,153.37,4,644.15,2023-01-25,Saturday,Credit Card,4.9
TXN-8612,Kumasi City Mall,Normal,Male,Clothing,24.56,4,103.15,2023-04-05,Monday,Credit Card,9.5
TXN-5246,West Hills Mall,Normal,Female,Furniture,250.87,8,2107.31,2023-04-15,Saturday,Mobile Money,9.4
TXN-5451,Accra Mall,Normal,Female,Stationery,191.76,5,1006.74,2023-03-08,Saturday,Credit Card,6.6
TXN-6421,Kumasi City Mall,Member,Male,Groceries,77.07,3,242.77,2023-04-14,Monday,Cash,8.2
TXN-7232,West Hills Mall,Member,Female,Cosmetics,251.54,7,1848.82,2023-06-01,Friday,Cash,9.4
TXN-4613,Kumasi City Mall,Normal,Female,Electronics,257.5,7,1892.62,2023-05-26,Saturday,Mobile Money,7.2
TXN-3704,Kumasi City Mall,Normal,Female,Clothing,18.42,6,116.05,2023-04-24,Sunday,Mobile Money,8.0
TXN-5262,Kumasi City Mall,Member,Male,Clothing,34.34,7,252.4,2023-02-02,Thursday,Mobile Money,4.8
TXN-2341,Kumasi City Mall,Normal,Male,Groceries,107.88,7,792.92,2023-04-09,Sunday,Mobile Money,5.7
TXN-1333,Kumasi City Mall,Member,Male,Electronics,198.54,1,208.47,2023-02-27,Tuesday,Mobile Money,8.5
TXN-2876,West Hills Mall,Normal,Male,Clothing,204.14,4,857.39,2023-03-06,Wednesday,Cash,6.8
TXN-4978,Accra Mall,Member,Male,Groceries,279.38,7,2053.44,2023-02-03,Saturday,Credit Card,6.4
TXN-2129,Accra Mall,Member,Female,Stationery,240.91,1,252.96,2023-06-12,Thursday,Credit Card,6.1
TXN-8532,West Hills Mall,Normal,Female,Stationery,248.48,2,521.81,2023-06-27,Wednesday,Cash,6.6
TXN-5397,West Hills Mall,Normal,Female,Clothing,188.61,8,1584.32,2023-06-19,Sunday,Cash,6.8
TXN-1470,Kumasi City Mall,Normal,Male,Clothing,80.72,8,678.05,2023-04-11,Saturday,Mobile Money,7.4
TXN-1166,Kumasi City Mall,Member,Male,Groceries,112.9,5,592.73,2023-06-09,Friday,Mobile Money,6.0
TXN-8342,West Hills Mall,Normal,Male,Clothing,151.69,4,637.1,2023-06-16,Saturday,Cash,8.1
TXN-9698,Accra Mall,Normal,Female,Electronics,210.62,5,1105.75,2023-04-18,Wednesday,Cash,8.0
TXN-2958,Kumasi City Mall,Normal,Female,Cosmetics,88.57,5,464.99,2023-02-11,Saturday,Mobile Money,5.4
TXN-5636,West Hills Mall,Member,Male,Furniture,224.2,5,1177.05,2023-05-20,Sunday,Cash,8.3
TXN-1893,Accra Mall,Normal,Female,Clothing,62.04,1,65.14,2023-03-02,Tuesday,Cash,8.2
TXN-6582,West Hills Mall,Normal,Male,Groceries,39.75,1,41.74,2023-04-15,Thursday,Credit Card,7.4
TXN-1878,Accra Mall,Member,Female,Electronics,248.41,7,1825.81,2023-06-22,Friday,Mobile Money,7.0
TXN-9561,Accra Mall,Member,Female,Clothing,44.35,7,325.97,2023-05-08,Sunday,Cash,7.6
TXN-4404,Kumasi City Mall,Normal,Female,Cosmetics,98.56,1,103.49,2023-01-25,Saturday,Mobile Money,7.7
TXN-8381,West Hills Mall,Member,Female,Clothing,55.55,3,174.98,2023-01-14,Tuesday,Credit Card,7.3
TXN-4824,West Hills Mall,Member,Female,Furniture,77.13,5,404.93,2023-01-22,Thursday,Mobile Money,8.2
TXN-1977,Kumasi City Mall,Member,Male,Stationery,167.92,3,528.95,2023-02-03,Sunday,Mobile Money,9.5
TXN-9090,Accra Mall,Member,Female,Groceries,145.92,5,766.08,2023-05-18,Wednesday,Mobile Money,8.2
TXN-1339,Kumasi City Mall,Normal,Male,Electronics,185.08,1,194.33,2023-05-19,Saturday,Mobile Money,4.5
TXN-9056,West Hills Mall,Normal,Male,Groceries,160.5,8,1348.2,2023-05-14,Tuesday,Cash,9.5
TXN-9117,Accra Mall,Normal,Female,Cosmetics,103.11,2,216.53,2023-04-23,Wednesday,Mobile Money,9.1
TXN-9431,Kumasi City Mall,Member,Female,Stationery,141.9,6,893.97,2023-04-28,Monday,Credit Card,5.5
TXN-1845,Accra Mall,Member,Female,Stationery,64.4,6,405.72,2023-06-15,Thursday,Mobile Money,7.7
TXN-4920,Accra Mall,Normal,Male,Groceries,265.45,8,2229.78,2023-05-26,Saturday,Mobile Money,4.7
TXN-2924,West Hills Mall,Member,Female,Clothing,170.15,2,357.32,2023-01-15,Sunday,Credit Card,5.3
TXN-8483,West Hills Mall,Normal,Female,Clothing,157.57,5,827.24,2023-04-08,Thursday,Credit Card,6.5
TXN-9318,West Hills Mall,Member,Female,Clothing,260.57,5,1367.99,2023-04-11,Sunday,Cash,8.6
TXN-6654,Kumasi City Mall,Normal,Female,Electronics,252.87,8,2124.11,2023-05-16,Thursday,Credit Card,9.2
TXN-6213,Kumasi City Mall,Normal,Female,Furniture,262.18,4,1101.16,2023-04-02,Tuesday,Mobile Money,7.4
