Invoice ID ,BRANCH,City,customer type,Gender  ,Product Line,Unit Price (GHS),Quantity,Tax 5%,Total,Date,Payment,cogs,gross margin percentage,gross income,Rating
658-21-7912,C,Naypyitaw,Member,Male,Sports and travel,34.75 GHS,4.0,6.95,145.95,3/24/2019,Cash,139.0,4.761904762,6.95,4.8
818-79-7873,A,Yangon,Member,Male,Electronic accessories,30.94 GHS,10.0,15.47,,"March 21, 2019",Cash,309.4,4.761904762,15.47,4.2
320-53-2674,A,Yangon,,FEMALE,Food and beverages,78.29 GHS,3.0,11.7435,246.61,2/5/2019,Ewallet,234.87,4.761904762,11.7435,8.2
649-25-7201,A,Yangon,Normal,Male,Fashion accessories,86.27 GHS,10.0,43.135,905.83,"March 15, 2019",Cash,862.7,4.761904762,43.135,5.6
975-39-2654,A,Yangon,Normal,,Home and lifestyle,27.31 GHS,2.0,2.731,57.35,"February 3, 2019",Cash,54.62,4.761904762,2.731,4.3
818-97-2169,B,Mandalay,Normal,Female,Sports and travel,85.07 GHS,3.0,12.7605,267.97,3/9/2019,Cash,255.21,4.761904762,12.7605,6.2
324-97-6313,C,Naypyitaw,Member,Male,Electronic accessories,51.6 GHS,5.0,12.9,270.9,3/18/2019,Credit card,258.0,4.761904762,12.9,9.9
317-93-9179,A,Yangon,Member,Male,Fashion accessories,46.1 GHS,2.0,4.61,96.81,3/11/2019,Credit card,92.2,4.761904762,4.61,5.3
697-61-6930,B,Mandalay,normal,Male,Fashion accessories,22.57 GHS,9.0,10.1565,,3/14/2019,Credit card,203.13,4.761904762,10.1565,7.2
710-18-7304,A,Yangon,Member,Female,Food and beverages,78.02 GHS,2.0,7.802,163.84,3/14/2019,Cash,156.04,4.761904762,7.802,4.9
868-44-6573,B,Mandalay,Normal,FEMALE,Home and lifestyle,87.47 GHS,1.0,4.3735,91.84,3/18/2019,Cash,87.47,4.761904762,4.3735,8.1
991-90-5889,A,Yangon,Normal,,Electronic accessories,50.84 GHS,-1.0,12.71,266.91,3/4/2019,Cash,254.2,4.761904762,12.71,9.8
431-72-1319,C,Naypyitaw,Member,Male,Fashion accessories,78.63 GHS,9.0,35.3835,,1/20/2019,Credit card,707.67,4.761904762,35.3835,9.7
935-18-9727,A,Yangon,Normal,Female,Electronic accessories,15.21 GHS,10.0,7.605,159.71,3/16/2019,Cash,152.1,4.761904762,7.605,9.7
873-98-4295,A,Yangon,member,Female,Home and lifestyle,24.86 GHS,9.0,11.187,234.93,1/18/2019,Ewallet,223.74,4.761904762,11.187,9.2
330-18-6539,C,Naypyitaw,,Female,Sports and travel,68.49 GHS,8.0,27.396,,1/8/2019,Ewallet,547.92,4.761904762,27.396,9.4
626-40-5562,A,Yangon,Member,Male,Food and beverages,16.39 GHS,1.0,0.8195,17.21,2/3/2019,Cash,16.39,4.761904762,0.8195,5.4
516-34-2545,C,Naypyitaw,,Male,Home and lifestyle,21.91 GHS,10.0,10.955,230.06,2/26/2019,Cash,219.1,4.761904762,10.955,7.5
512-53-2790,A,Yangon,Normal,Female,Health and beauty,47.0 GHS,1.0,2.35,49.35,1/2/2019,Credit card,47.0,4.761904762,2.35,8.0
177-66-2604,A,Yangon,Member,Male,Home and lifestyle,50.38 GHS,-2.0,17.633,,1/28/2019,Ewallet,352.66,4.761904762,17.633,5.1
488-10-7396,A,Yangon,member,Male,Electronic accessories,24.97 GHS,8.0,9.988,209.75,"January 6, 2019",Ewallet,199.76,4.761904762,9.988,6.9
403-37-1958,B,Mandalay,Normal,FEMALE,Health and beauty,72.69 GHS,9.0,32.7105,686.92,1/7/2019,Ewallet,654.21,4.761904762,32.7105,8.0
620-20-4044,C,Naypyitaw,Member,Female,Food and beverages,14.51 GHS,8.0,5.804,121.88,1/2/2019,Credit card,116.08,4.761904762,5.804,7.0
183-63-9565,A,Yangon,member,Male,Health and beauty,20.79 GHS,10.0,10.395,218.29,1/20/2019,Credit card,207.9,4.761904762,10.395,5.5
407-68-6180,B,Mandalay,Normal,MALE,Sports and travel,74.46 GHS,4.0,14.892,312.73,"March 21, 2019",Cash,297.84,4.761904762,14.892,5.6
235-54-2127,,Yangon,Member,Female,Home and lifestyle,99.86 GHS,2.0,9.986,209.71,3/9/2019,Cash,199.72,4.761904762,9.986,4.4
108-95-5905,A,Yangon,Normal,Female,Electronic accessories,49.44 GHS,9.0,22.248,467.21,3/17/2019,Credit card,444.96,4.761904762,22.248,8.2
719-36-6617,C,Naypyitaw,Member,Male,Fashion accessories,20.39 GHS,2.0,2.039,42.82,"February 10, 2019",Cash,40.78,4.761904762,2.039,8.5
103-52-3143,A,Yangon,Normal,Female,Fashion accessories,91.48 GHS,1.0,4.574,96.05,2/2/2019,Ewallet,91.48,4.761904762,4.574,4.6
252-79-1590,C,Naypyitaw,Normal,Male,Sports and travel,49.77 GHS,7.0,17.4195,365.81,1/23/2019,Cash,348.39,4.761904762,17.4195,7.4
798-41-2684,B,Mandalay,Member,Female,Electronic accessories,13.76 GHS,6.0,4.128,86.69,2/7/2019,Cash,82.56,4.761904762,4.128,9.4
440-62-5065,B,Mandalay,Normal,Male,Electronic accessories,87.81 GHS,3.0,13.1715,276.6,1/24/2019,Cash,263.43,4.761904762,13.1715,9.3
940-39-4652,B,Mandalay,Member,Male,Health and beauty,88.5 GHS,8.0,35.4,743.4,2/10/2019,Ewallet,708.0,4.761904762,35.4,5.3
621-61-9785,A,Yangon,Member,Female,Fashion accessories,35.07 GHS,2.0,3.507,73.65,2/21/2019,Ewallet,70.14,4.761904762,3.507,9.8
846-50-8149,B,Mandalay,Member,Male,Fashion accessories,26.07 GHS,5.0,6.5175,136.87,2/12/2019,Credit card,130.35,4.761904762,6.5175,4.2
651-97-4228,C,Naypyitaw,,Female,Home and lifestyle,27.11 GHS,1.0,1.3555,,3/26/2019,Cash,27.11,4.761904762,1.3555,8.3
619-49-7691,B,Mandalay,Normal,Male,Sports and travel,92.87 GHS,10.0,46.435,975.13,3/10/2019,Cash,928.7,4.761904762,46.435,5.9
278-88-5930,B,Mandalay,Normal,,Home and lifestyle,21.46 GHS,7.0,7.511,157.73,3/24/2019,Ewallet,150.22,4.761904762,7.511,8.0
552-96-4501,B,Mandalay,,Female,Fashion accessories,28.92 GHS,10.0,14.46,303.66,"February 15, 2019",Ewallet,289.2,4.761904762,14.46,7.6
938-40-6085,C,Naypyitaw,Normal,Male,Sports and travel,17.63 GHS,9.0,7.9335,166.6,2/3/2019,Credit card,158.67,4.761904762,7.9335,
744-83-4185,A,Yangon,Member,Male,Food and beverages,14.16 GHS,8.0,5.664,118.94,2/14/2019,Cash,113.28,4.761904762,5.664,7.7
280-99-9486,C,Naypyitaw,Normal,Female,Health and beauty,31.96 GHS,1.0,1.598,33.56,2/8/2019,Cash,31.96,4.761904762,1.598,9.4
873-66-9270,B,Mandalay,Member,Male,Food and beverages,51.08 GHS,8.0,20.432,429.07,3/11/2019,Credit card,408.64,4.761904762,20.432,8.0
884-76-8939,B,Mandalay,Normal,MALE,Sports and travel,87.53 GHS,8.0,35.012,,3/9/2019,Cash,700.24,4.761904762,35.012,5.6
182-27-3471,C,Naypyitaw,Member,Female,Health and beauty,16.97 GHS,5.0,4.2425,89.09,2/18/2019,Ewallet,84.85,4.761904762,4.2425,5.4
163-36-7883,A,Yangon,Normal,Male,Sports and travel,29.26 GHS,7.0,10.241,215.06,"February 14, 2019",Credit card,204.82,4.761904762,10.241,6.4
865-79-4613,B,Mandalay,Member,Female,Health and beauty,10.53 GHS,6.0,3.159,66.34,2/18/2019,Ewallet,63.18,4.761904762,3.159,5.8
269-69-3091,B,Mandalay,Member,Female,Health and beauty,53.71 GHS,7.0,18.7985,,2/24/2019,Credit card,375.97,4.761904762,18.7985,6.0
572-33-1823,C,Naypyitaw,Member,Female,Home and lifestyle,60.8 GHS,1.0,3.04,63.84,1/28/2019,Ewallet,60.8,4.761904762,3.04,4.5
951-63-5133,B,Mandalay,Normal,Female,Electronic accessories,50.92 GHS,6.0,15.276,320.8,"February 25, 2019",Ewallet,305.52,4.761904762,15.276,8.6
872-13-5051,A,Yangon,Normal,Male,Sports and travel,58.55 GHS,6.0,17.565,368.86,3/2/2019,Cash,351.3,4.761904762,17.565,
362-57-3749,A,Yangon,Member,Male,Electronic accessories,21.36 GHS,2.0,2.136,44.86,2/23/2019,Cash,42.72,4.761904762,2.136,7.4
506-35-2245,C,Naypyitaw,Member,Male,Fashion accessories,19.73 GHS,1.0,0.9865,20.72,3/13/2019,Credit card,19.73,4.761904762,0.9865,9.6
645-64-7071,C,Naypyitaw,Member,Male,Sports and travel,79.52 GHS,10.0,39.76,834.96,1/12/2019,Credit card,795.2,4.761904762,39.76,8.8
570-29-8135,A,Yangon,Normal,MALE,Health and beauty,84.01 GHS,2.0,8.401,176.42,3/27/2019,Ewallet,168.02,4.761904762,8.401,6.6
561-41-8613,A,Yangon,,Female,Health and beauty,49.2 GHS,10.0,24.6,516.6,1/9/2019,Cash,492.0,4.761904762,24.6,5.6
364-53-5581,C,Naypyitaw,Normal,,Food and beverages,54.49 GHS,6.0,16.347,343.29,2/26/2019,Cash,326.94,4.761904762,16.347,5.1
876-40-8800,C,Naypyitaw,Normal,Male,Home and lifestyle,95.33 GHS,2.0,9.533,200.19,"February 18, 2019",Ewallet,190.66,4.761904762,9.533,5.4
695-57-8753,C,Naypyitaw,Normal,FEMALE,Food and beverages,18.37 GHS,4.0,3.674,77.15,2/22/2019,Cash,73.48,4.761904762,3.674,
336-25-4155,C,Naypyitaw,,Female,Sports and travel,59.53 GHS,6.0,17.859,375.04,2/9/2019,Ewallet,357.18,4.761904762,17.859,8.2
389-22-4180,B,Mandalay,Member,Male,Electronic accessories,29.47 GHS,8.0,11.788,247.55,3/20/2019,Credit card,235.76,4.761904762,11.788,5.7
399-99-3068,B,Mandalay,Member,Female,Electronic accessories,37.2 GHS,9.0,16.74,351.54,"January 18, 2019",Cash,334.8,4.761904762,16.74,4.8
358-71-2869,C,Naypyitaw,Normal,Male,Food and beverages,61.67 GHS,8.0,24.668,518.03,"January 2, 2019",Ewallet,493.36,4.761904762,24.668,
354-25-7818,A,Yangon,Normal,Female,Food and beverages,61.93 GHS,1.0,3.0965,65.03,2/3/2019,Credit card,61.93,4.761904762,3.0965,4.9
735-17-2625,C,Naypyitaw,Member,Female,Health and beauty,91.77 GHS,5.0,22.9425,481.79,"February 19, 2019",Ewallet,458.85,4.761904762,22.9425,9.2
518-67-8699,A,Yangon,Member,Female,Sports and travel,17.31 GHS,4.0,3.462,72.7,1/1/2019,Cash,69.24,4.761904762,3.462,
910-90-4241,,Mandalay,Member,,Fashion accessories,73.63 GHS,8.0,29.452,618.49,2/26/2019,Cash,589.04,4.761904762,29.452,4.4
911-49-5728,B,Mandalay,Member,Male,Sports and travel,23.41 GHS,5.0,5.8525,122.9,1/6/2019,Cash,117.05,4.761904762,5.8525,9.0
548-20-1653,B,Mandalay,Member,Female,Sports and travel,37.37 GHS,7.0,13.0795,274.67,"March 16, 2019",Credit card,261.59,4.761904762,13.0795,9.7
375-83-1659,B,Mandalay,Normal,Female,Food and beverages,18.22 GHS,-5.0,9.11,191.31,3/27/2019,Cash,182.2,4.761904762,9.11,7.5
456-62-6460,A,Yangon,Normal,Female,Fashion accessories,26.33 GHS,10.0,13.165,276.46,"January 16, 2019",Ewallet,263.3,4.761904762,13.165,6.6
565-21-6153,B,Mandalay,Member,Male,Fashion accessories,47.05 GHS,8.0,18.82,395.22,3/2/2019,Ewallet,376.4,4.761904762,18.82,5.7
155-34-9494,,Mandalay,Normal,Male,Health and beauty,87.84 GHS,1.0,4.392,92.23,2/14/2019,Credit card,87.84,4.761904762,4.392,7.9
596-25-1472,B,Mandalay,Normal,Female,Food and beverages,28.32 GHS,9.0,12.744,267.62,"February 23, 2019",Ewallet,254.88,4.761904762,12.744,4.8
220-92-3522,C,Naypyitaw,Member,Male,Fashion accessories,59.58 GHS,9.0,26.811,563.03,1/15/2019,Cash,536.22,4.761904762,26.811,6.4
295-86-9327,B,Mandalay,Normal,Female,Health and beauty,85.13 GHS,8.0,34.052,715.09,1/13/2019,Credit card,681.04,4.761904762,34.052,
102-46-5891,C,Naypyitaw,member,Male,Fashion accessories,79.54 GHS,7.0,27.839,584.62,2/27/2019,Credit card,556.78,4.761904762,27.839,6.0
429-34-4912,C,Naypyitaw,Normal,Male,Health and beauty,58.47 GHS,6.0,17.541,368.36,2/15/2019,Credit card,350.82,4.761904762,17.541,6.0
911-93-3492,,Naypyitaw,Normal,Male,Health and beauty,13.93 GHS,8.0,5.572,117.01,2/22/2019,Ewallet,111.44,4.761904762,5.572,8.2
567-11-3361,B,Mandalay,Member,Male,Home and lifestyle,96.88 GHS,6.0,29.064,610.34,1/17/2019,Ewallet,581.28,4.761904762,29.064,9.2
182-52-9742,B,Mandalay,Member,,Health and beauty,80.34 GHS,5.0,20.085,421.79,2/21/2019,Credit card,401.7,4.761904762,20.085,6.0
864-21-8110,,Mandalay,Normal,Female,Home and lifestyle,13.23 GHS,2.0,1.323,27.78,2/8/2019,Credit card,26.46,4.761904762,1.323,5.4
483-65-3385,,Yangon,Member,Female,Electronic accessories,72.46 GHS,1.0,3.623,76.08,2/12/2019,Cash,72.46,4.761904762,3.623,4.3
609-84-3344,A,Yangon,Normal,Male,Electronic accessories,25.76 GHS,10.0,12.88,270.48,3/8/2019,Credit card,257.6,4.761904762,12.88,9.2
659-30-2210,A,Yangon,Normal,FEMALE,Health and beauty,32.98 GHS,1.0,1.649,34.63,2/22/2019,Ewallet,32.98,4.761904762,1.649,
973-71-2747,B,Mandalay,Normal,Female,Sports and travel,96.58 GHS,5.0,24.145,507.04,1/13/2019,Ewallet,482.9,4.761904762,24.145,6.7
